,uid,mean_score,tweet_count,final_score,normalized_score
198,46,0.1795176356737992,13,0.4737573322201413,0.385294288572511
162,234,0.11059735411665679,71,0.47298795720352693,0.3845613395970809
213,54,0.15771008878426213,19,0.47245720283607934,0.38405571378206854
192,210,0.13148680320575531,35,0.4711854494448757,0.3828441715238024
203,213,0.10067290556526166,106,0.47042725597441515,0.3821218747044992
17,99,0.15287287280360656,20,0.465424891369819,0.37735634692871955
92,9,0.10059333729873955,99,0.4632494378371993,0.37528389018994207
104,134,0.20065881103182492,9,0.46203398705978926,0.37412598489960824
121,186,0.10056234049394931,97,0.4610750607437544,0.3732124589263532
148,26,0.15630190148447715,18,0.4602214112487274,0.3723992254456122
158,76,0.14449708769379027,23,0.4592195230193732,0.37144477158976424
123,219,0.13448039049699842,29,0.45739435204329526,0.36970601328852915
168,216,0.14387027966758523,23,0.45722749337079943,0.36954705453576686
103,14,0.10059556406474592,91,0.454871872489773,0.367302960467249
66,162,0.10063521854146877,90,0.4539513322481851,0.36642600318069307
114,17,0.1000314410295664,89,0.45012244568191456,0.3627783951544594
120,20,0.10078564932839312,81,0.44413406074345557,0.35707353015320253
110,185,0.20078469454622966,8,0.4411690656099214,0.35424891264113106
45,165,0.20017462922948706,8,0.4398286151021942,0.35297192572962865
80,124,0.19566622045759402,8,0.42992262854391255,0.34353493786060824
207,51,0.16069728532115798,13,0.42408934867607645,0.33797783448423135
145,24,0.17557834262962269,10,0.42101847779734486,0.33505235391150734
40,155,0.1474815618888779,16,0.41784672914582155,0.3320307716216562
149,26,0.20059774051743537,7,0.4171312747990675,0.3313491904433018
138,36,0.13877001665977057,19,0.41571781750929965,0.33000265325405376
105,202,0.1307386522952851,23,0.4154944747015591,0.3297898846060367
147,94,0.12501239213825624,25,0.4073024420354366,0.3219857035244274
73,133,0.18404286044684393,8,0.4043834962570655,0.3192049551619347
214,56,0.10054885276521032,53,0.4010877695807641,0.3160652645838305
216,57,0.1331733474400788,19,0.39895169490346283,0.3140303223094377
82,203,0.10196926699980503,49,0.3989061183498824,0.31398690357666237
49,71,0.10016472075617516,52,0.39768318084144866,0.31282186601440054
95,215,0.10164987600875683,49,0.39765665344517526,0.31279659455704933
47,233,0.10134338268916462,49,0.39645764452792054,0.3116543526874074
179,208,0.1008021641903234,50,0.39633653299759963,0.3115389751795022
222,62,0.10040499627668277,50,0.3947749380142518,0.3100513138721227
116,214,0.10137792095428715,48,0.3945446505501493,0.3098319293623279
4,85,0.10019928860275544,50,0.3939661313090562,0.3092808001004346
199,48,0.10014625568374291,49,0.3917744561422915,0.30719288974038056
135,22,0.16875388391517313,9,0.38857017748792533,0.30414031757986876
209,238,0.10020816903732817,47,0.3879259652785336,0.3035266055816406
